[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\wsgiref\simple_server.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1578010905.9475136
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\asyncio\subprocess.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1578010906.2525606
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\distutils\core.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1578010907.3598466
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1578010886.9209154
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\_compat_pickle.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1578010902.4512925
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1578010906.3055725
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1578010902.4592938
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1578010906.2875688
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\urllib\__init__.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\nturl2path.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1578010908.5174036
